t0,t1,t2,t31,t32,t33,x0,x1,x2,x31,x32,x33,sigma1,sigma2,sigma3
SI,-1057.3,235.9,-100,14463.5,NaN,NaN,0.56,0,0,1,NaN,NaN,1,NaN,NaN
SII,-1169.9,586.6,-27.1,9331.1,NaN,NaN,0.34,0,0,1,NaN,NaN,1,NaN,NaN
SIII,-1128.75,395,-95,14000,NaN,NaN,0.45,0,0,1,NaN,NaN,1,NaN,NaN
SIIIs,-1121,400,-583.33,14000,NaN,NaN,0.43225,0.35,-0.9875,1,NaN,NaN,1,NaN,NaN
SIV,-1205.6,765,35,5000,NaN,NaN,0.05,0,0,1,NaN,NaN,1,NaN,NaN
SV,-1248.29,970.56,107.22,0,NaN,NaN,-0.17,0,0,1,NaN,NaN,1,NaN,NaN
SVI,-1101.81,271.67,-138.33,17000,NaN,NaN,0.583,0,0,1,NaN,NaN,1,NaN,NaN
SVII,-1096.8,246.2,-148,17626,NaN,NaN,0.62,0,0,1,NaN,NaN,1,NaN,NaN
SkT,-1144.7,402.1,56.1,9656.3,NaN,NaN,0.07,0,0,1,NaN,NaN,1,NaN,NaN
SkT1,-1794,298,-298,12812,NaN,NaN,0.154,-0.5,-0.5,0.089,NaN,NaN,0.3333333,NaN,NaN
SkT2,-1791.6,300,-300,12792,NaN,NaN,0.154,-0.5,-0.5,0.089,NaN,NaN,0.3333333,NaN,NaN
SkT3,-1791.8,298.5,-99.5,12794,NaN,NaN,0.138,-1,1,0.075,NaN,NaN,0.3333333,NaN,NaN
SkT4,-1808.8,303.4,-303.4,12980,NaN,NaN,-0.177,-0.5,-0.5,-0.5,NaN,NaN,0.3333333,NaN,NaN
SkT5,-2917.1,328.2,-328.2,18584,NaN,NaN,-0.295,-0.5,-0.5,-0.5,NaN,NaN,0.1666667,NaN,NaN
SkT6,-1794.2,294,-294,12817,NaN,NaN,0.392,-0.5,-0.5,0.5,NaN,NaN,0.3333333,NaN,NaN
SkT7,-1892.5,366.6,-21,11983,NaN,NaN,0.334,-0.359,6.9,0.366,NaN,NaN,0.285,NaN,NaN
SkT8,-1892.5,367,-228.76,11983,NaN,NaN,0.448,-0.5,-0.5,0.695,NaN,NaN,0.285,NaN,NaN
SkT9,-1891.4,377.4,-239.16,11982,NaN,NaN,0.441,-0.5,-0.5,0.686,NaN,NaN,0.285,NaN,NaN
SkTK,-2248,558.8,-83.7,11224,NaN,NaN,0.715,0,0,1,NaN,NaN,0.166667,NaN,NaN
SkM,-2645,385,-120,15595,NaN,NaN,0.09,0,0,0,NaN,NaN,0.1666667,NaN,NaN
SkM1,-2645,410,-135,15595,NaN,NaN,1.3,0,0,1.734,NaN,NaN,0.1666667,NaN,NaN
SkMP,-2372.24,503.623,57.2783,12585.3,NaN,NaN,-0.157563,-0.402886,-2.95571,-0.267933,NaN,NaN,0.1666667,NaN,NaN
SkMs,-2645,410,-135,15595,NaN,NaN,0.09,0,0,0,NaN,NaN,0.1666667,NaN,NaN
SKa,-1602.78,570.88,-67.7,8000,NaN,NaN,-0.02,0,0,-0.286,NaN,NaN,0.333333,NaN,NaN
SKb,-1602.78,570.88,-67.7,8000,NaN,NaN,-0.165,0,0,-0.286,NaN,NaN,0.333333,NaN,NaN
SGI,-1603,515.9,84.5,8000,NaN,NaN,-0.02,-0.5,-1.731,0.1381,NaN,NaN,0.3333333,NaN,NaN
SGII,-2645,340,-41.9,15595,NaN,NaN,0.09,-0.0588,1.425,0.06044,NaN,NaN,0.1666667,NaN,NaN
RATP,-2160,513,121,11600,NaN,NaN,0.418,-0.36,-2.29,0.586,NaN,NaN,0.2,NaN,NaN
T,-1788.9,301.5,502.5,12764,NaN,NaN,0.353,-2.5,-1.7,0.475,NaN,NaN,0.333333,NaN,NaN
SkP,-2931.7,320.618,-337.409,18708.96,NaN,NaN,0.29215,0.65318,-0.53732,0.18103,NaN,NaN,0.1666667,NaN,NaN
ZR1a,-1003.9,0,0,13287.2,NaN,NaN,0,0,0,1,NaN,NaN,1,NaN,NaN
ZR1b,-1003.9,0,0,13287.2,NaN,NaN,0.2,0,0,1,NaN,NaN,1,NaN,NaN
ZR1c,-1003.9,0,0,13287.2,NaN,NaN,0.5,0,0,1,NaN,NaN,1,NaN,NaN
ZR2a,-1192.2,0,0,11041,NaN,NaN,0,0,0,1,NaN,NaN,0.666666667,NaN,NaN
ZR2b,-1192.2,0,0,11041,NaN,NaN,0.2,0,0,1,NaN,NaN,0.666666667,NaN,NaN
ZR2c,-1192.2,0,0,11041,NaN,NaN,0.5,0,0,1,NaN,NaN,0.666666667,NaN,NaN
ZR3a,-4392.2,0,0,26967.3,NaN,NaN,0,0,0,1,NaN,NaN,0.1,NaN,NaN
ZR3b,-4392.2,0,0,26967.3,NaN,NaN,0.2,0,0,1,NaN,NaN,0.1,NaN,NaN
ZR3c,-4392.2,0,0,26967.3,NaN,NaN,0.5,0,0,1,NaN,NaN,0.1,NaN,NaN
PRC45,-1089,0,0,17480.4,NaN,NaN,0.5,0,0,-0.5,NaN,NaN,1,NaN,NaN
E,-1140.25,309.61,-122.22,11608.1,NaN,NaN,0.7979,0,0,1.632,NaN,NaN,0.8,NaN,NaN
Es,-1664.05,358.83,-137.22,10931.5,NaN,NaN,1.077,0,0,1.6918,NaN,NaN,0.35,NaN,NaN
Gs,-1800.16,336.23,-85.74,11113.5,NaN,NaN,-0.4862,0,0,-1.0295,NaN,NaN,0.3,NaN,NaN
Rs,-1798,335.97,-84.81,11083.9,NaN,NaN,-0.4036,0,0,-0.8705,NaN,NaN,0.3,NaN,NaN
Z,-1137.57,284.67,-92.73,11269.5,NaN,NaN,0.926,0,0,2.1561,NaN,NaN,0.8,NaN,NaN
Zs,-1983.76,362.25,-104.27,11861.4,NaN,NaN,1.1717,0,0,1.762,NaN,NaN,0.25,NaN,NaN
Zss,-1987.64,380.92,-109.88,11837.7,NaN,NaN,0.8897,0,0,1.278,NaN,NaN,0.25,NaN,NaN
SkSC1,-1788.59,282.623,-282.623,12775.3,NaN,NaN,0.72,-0.5,-0.5,1.04564,NaN,NaN,0.3333333,NaN,NaN
SkSC2,-1791.64,290.601,-290.601,12800.5,NaN,NaN,0.38,-0.5,-0.5,0.59276,NaN,NaN,0.3333333,NaN,NaN
SkSC3,-1788.11,289.901,-96.6337,12771.4,NaN,NaN,0.65,-1,1,0.960976,NaN,NaN,0.3333333,NaN,NaN
SkSC4,-1789.42,283.467,-283.467,12782.3,NaN,NaN,0.79,-0.5,-0.5,1.13871,NaN,NaN,0.3333333,NaN,NaN
SkSC4o,-1788.42,283.037,-283.037,12775,NaN,NaN,0.79434,-0.5,-0.5,1.18439,NaN,NaN,0.3333333,NaN,NaN
SkSC5,-1788.17,281.931,-281.931,12771.9,NaN,NaN,0.98,-0.5,-0.5,1.38526,NaN,NaN,0.3333333,NaN,NaN
SkSC6,-1792.47,291.964,-291.964,12805.7,NaN,NaN,0.370038,-0.5,-0.5,0.581085,NaN,NaN,0.3333333,NaN,NaN
SkSC10,-1795.12,298.95,-298.95,12827.7,NaN,NaN,0.159124,-0.5,-0.5,0.292918,NaN,NaN,0.3333333,NaN,NaN
SkSC11,-1789.42,283.467,-283.467,12782.3,NaN,NaN,0.79,-0.5,-0.5,1.13871,NaN,NaN,0.3333333,NaN,NaN
SkSC14,-1792.47,291.334,-291.334,12805.7,NaN,NaN,0.364025,-0.5,-0.5,0.455431,NaN,NaN,0.3333333,NaN,NaN
SkSC15,-1789.81,285.6,-285.6,12783.7,NaN,NaN,0.621299,-0.5,-0.5,0.895573,NaN,NaN,0.3333333,NaN,NaN
Skyrme1p,-1057.3,235.9,-100,14463.5,NaN,NaN,0.2885,0,0,0.2257,NaN,NaN,1,NaN,NaN
MSkA,-1218.828,370.265,-106.883,10834.819,NaN,NaN,0.119,0.0157,0.0335,-0.199,NaN,NaN,0.7179,NaN,NaN
SkI1,-1913.619,439.809,2697.594,10592.267,NaN,NaN,-0.954536,-5.782388,-1.287379,-1.561421,NaN,NaN,0.25,NaN,NaN
SkI2,-1915.43,438.449,305.446,10548.9,NaN,NaN,-0.2108,-1.7376,-1.5336,-0.178,NaN,NaN,0.25,NaN,NaN
SkI3,-1762.88,561.608,-227.09,8106.2,NaN,NaN,0.3083,-1.1722,-1.0907,1.2926,NaN,NaN,0.25,NaN,NaN
SkI4,-1855.827,473.829,1006.855,9703.607,NaN,NaN,0.405082,-2.889148,-1.32515,1.145203,NaN,NaN,0.25,NaN,NaN
SkI5,-1772.907,550.84,-126.685,8206.246,NaN,NaN,-0.117077,-1.308726,-1.04864,0.341023,NaN,NaN,0.25,NaN,NaN
SkI6,-1849.347,483.913,528.43,9553.404,NaN,NaN,0.491825,-2.137409,-1.381416,1.337188,NaN,NaN,0.25,NaN,NaN
SLy0,-2486.43,485.25,-440.46,13783,NaN,NaN,0.7947,-0.4983,-0.9323,1.2893,NaN,NaN,0.1666667,NaN,NaN
SLy1,-2487.64,488.29,-568.86,13791,NaN,NaN,0.7955,-0.3056,-1,1.2902,NaN,NaN,0.1666667,NaN,NaN
SLy2,-2484.23,482.19,-289.95,13763,NaN,NaN,0.7893,-0.7279,-0.7754,1.2824,NaN,NaN,0.1666667,NaN,NaN
SLy230a,-2490.23,489.53,-566.58,13803,NaN,NaN,1.1318,-0.8426,-1,1.9219,NaN,NaN,0.1666667,NaN,NaN
SLy3,-2481.09,480.95,-540.85,13731,NaN,NaN,0.838,-0.3381,-1,1.3578,NaN,NaN,0.1666667,NaN,NaN
SLy4,-2488.913,486.818,-546.395,13777,NaN,NaN,0.834,-0.3438,-1,1.354,NaN,NaN,0.1666667,NaN,NaN
SLy5,-2483.45,484.23,-556.69,13757,NaN,NaN,0.776,-0.317,-1,1.263,NaN,NaN,0.1666667,NaN,NaN
SLy6,-2479.5,462.18,-448.61,13673,NaN,NaN,0.825,-0.465,-1,1.355,NaN,NaN,0.1666667,NaN,NaN
SLy7,-2480.8,461.29,-433.93,13669,NaN,NaN,0.848,-0.492,-1,1.393,NaN,NaN,0.1666667,NaN,NaN
SLy8,-2481.41,480.78,-538.34,13731,NaN,NaN,0.8024,-0.3424,-1,1.3061,NaN,NaN,0.1666667,NaN,NaN
SLy9,-2511.13,510.6,-429.8,13716,NaN,NaN,0.7998,-0.6213,-1,1.3727,NaN,NaN,0.1666667,NaN,NaN
SLy10,-2506.77,430.98,-304.95,13826.41,NaN,NaN,1.0398,-0.6745,-1,1.6833,NaN,NaN,0.1666667,NaN,NaN
SkX,-1445.32,246.867,-131.786,12103.86,NaN,NaN,0.34,0.58,0.127,0.03,NaN,NaN,0.5,NaN,NaN
SkXce,-1437.96,244.335,-133.741,12116.26,NaN,NaN,0.289,0.611,0.145,-0.056,NaN,NaN,0.5,NaN,NaN
SkXm,-1803.06,273.756,-95.946,12755.09,NaN,NaN,0.306,0.225,0.698,0.116,NaN,NaN,0.33333,NaN,NaN
SkO,-2103.653,303.352,791.674,13553.252,NaN,NaN,-0.210701,-2.810752,-1.461595,-0.429881,NaN,NaN,0.25,NaN,NaN
SkOp,-2099.419,301.531,154.781,13526.464,NaN,NaN,-0.029503,-1.325732,-2.323439,-0.147404,NaN,NaN,0.25,NaN,NaN
SKRA,-2895.4,405.5,-89.1,16660,NaN,NaN,0.08,0,0.2,0,NaN,NaN,0.1422,NaN,NaN
MSk1,-1813.03,274.828,-274.828,13050.1,NaN,NaN,0.365395,-0.5,-0.5,0.449882,NaN,NaN,0.3333333,NaN,NaN
MSk2,-1830.67,260.301,-293.742,13442.1,NaN,NaN,0.356875,-0.5,-0.5,0.4097599,NaN,NaN,0.3333333,NaN,NaN
MSk3,-1810.32,269.092,-269.92,13027.5,NaN,NaN,0.631485,-0.5,-0.5,0.90368,NaN,NaN,0.3333333,NaN,NaN
MSk4,-1827.96,254.129,-287.569,13419.5,NaN,NaN,0.61036,-0.5,-0.5,0.835063,NaN,NaN,0.3333333,NaN,NaN
MSk5,-1827.96,254.326,-287.766,13419.5,NaN,NaN,0.605152,-0.5,-0.5,0.827182,NaN,NaN,0.3333333,NaN,NaN
MSk5s,-1728.73,362.859,-126.139,11084.8,NaN,NaN,0.647,-0.1,-0.145864,0.994321,NaN,NaN,0.3333333,NaN,NaN
MSk6,-1827.96,258.483,-291.924,13419.5,NaN,NaN,0.576591,-0.5,-0.5,0.783956,NaN,NaN,0.333333,NaN,NaN
MSk7,-1828.23,259.4,-292.84,13421.7,NaN,NaN,0.576761,-0.5,-0.5,0.78529,NaN,NaN,0.333333,NaN,NaN
MSk8,-1844.2,242.743,-306.583,13777.5,NaN,NaN,0.574829,-0.5,-0.5,0.752727,NaN,NaN,0.333333,NaN,NaN
MSk9,-1810.73,273.844,-273.844,13030.9,NaN,NaN,0.5846,-0.5,-0.5,0.831332,NaN,NaN,0.333333,NaN,NaN
v070,-1828.64,248.527,-176.49,13425.1,NaN,NaN,0.517539,1.2,-0.051769,0.329698,NaN,NaN,0.3333333,NaN,NaN
v075,-1828.64,252.349,-171.327,13425.1,NaN,NaN,0.521301,0.75,0.001069,0.408383,NaN,NaN,0.3333333,NaN,NaN
v080,-1827.96,251.271,-168.233,13419.5,NaN,NaN,0.528552,0.4,0.019271,0.483059,NaN,NaN,0.3333333,NaN,NaN
v090,-1827.96,253.565,-199.305,13419.5,NaN,NaN,0.559906,-0.1,-0.169977,0.637001,NaN,NaN,0.3333333,NaN,NaN
v100,-1827.96,253.702,-220.261,13419.5,NaN,NaN,0.564938,-0.5,-0.272269,0.729808,NaN,NaN,0.3333333,NaN,NaN
v105,-1827.96,253.114,-286.554,13419.5,NaN,NaN,0.611956,-0.5,-0.5,0.837479,NaN,NaN,0.3333333,NaN,NaN
v110,-1827.96,252.949,-347.19,13419.5,NaN,NaN,0.627871,-0.5,-0.631341,0.894757,NaN,NaN,0.3333333,NaN,NaN
SKz0,-2471.1,439.85,-258.18,13732.8,NaN,NaN,0.1986,1.0413,-0.8328,0,NaN,NaN,0.1694,NaN,NaN
SKz1,-2471.1,439.85,-262.98,13732.8,NaN,NaN,0.6052,0.4933,-0.8404,0.7282,NaN,NaN,0.1694,NaN,NaN
SKz2,-2471.1,439.85,-267.78,13732.8,NaN,NaN,1.029,0.0546,-0.8478,1.4564,NaN,NaN,0.1694,NaN,NaN
SKz3,-2471.1,439.85,-272.66,13732.8,NaN,NaN,1.4174,-0.6082,-0.8549,2.1846,NaN,NaN,0.1694,NaN,NaN
SKz4,-2471.1,439.85,-277.5,13732.8,NaN,NaN,1.8226,-1.164,-0.8618,2.9127,NaN,NaN,0.1694,NaN,NaN
SKzm1,-2471.1,439.85,-299.14,13732.8,NaN,NaN,-0.2665,1.2968,-0.8899,-0.7282,NaN,NaN,0.1694,NaN,NaN
BSk1,-1830.45,262.97,-296.446,13444.7,NaN,NaN,0.599988,-0.5,-0.5,0.823074,NaN,NaN,0.3333333,NaN,NaN
BSk2,-1790.62,260.996,-147.167,13215.1,NaN,NaN,0.498986,-0.0897521,0.224411,0.515675,NaN,NaN,0.343295,NaN,NaN
BSk2p,-1792.71,259.053,-146.768,13267.9,NaN,NaN,0.498612,-0.0897572,0.242854,0.509818,NaN,NaN,0.343295,NaN,NaN
BSk3,-1755.1297,233.262,-135.284,13543.2,NaN,NaN,0.476585,-0.032567,0.470393,0.422501,NaN,NaN,0.361194,NaN,NaN
BSk4,-1776.9376,306.884,-105.67,12302.1,NaN,NaN,0.542494,-0.535165,0.494738,0.759028,NaN,NaN,0.333333,NaN,NaN
BSk5,-1778.8934,312.727,-102.883,12318.37,NaN,NaN,0.44451,-0.488716,0.58459,0.569304,NaN,NaN,0.333333,NaN,NaN
BSk6,-2043.3174,382.127,-173.879,12511.7,NaN,NaN,0.735859,-0.799153,-0.358983,1.234779,NaN,NaN,0.25,NaN,NaN
BSk7,-2044.2484,385.973,-131.525,12518.8,NaN,NaN,0.729193,-0.932335,-0.050127,1.23628,NaN,NaN,0.25,NaN,NaN
BSk8,-2035.525,398.8208,-196.0032,12433.36,NaN,NaN,0.773828,-0.822006,-0.38964,1.309331,NaN,NaN,0.25,NaN,NaN
BSk9,-2043.918,411.5987,-194.1886,12497.169,NaN,NaN,0.514921,-0.953799,-0.332249,0.899435,NaN,NaN,0.25,NaN,NaN
BSk10,-1771.37,322.432,-80.6445,12219,NaN,NaN,0.266859,-0.461021,1.18713,0.23156,NaN,NaN,0.333333,NaN,NaN
BSk11,-1773.9,310.45,-78.3014,12254.7,NaN,NaN,0.259339,-0.464192,1.14268,0.225045,NaN,NaN,0.333333,NaN,NaN
